x_m,y_m,w_tr_right_m,w_tr_left_m
31.287247961,2.761491094,0.457200000,0.457200000
31.311432858,2.767480088,0.457200000,0.457200000
31.335606909,2.773512713,0.457200000,0.457200000
31.359770034,2.779588951,0.457200000,0.457200000
31.383922155,2.785708780,0.457200000,0.457200000
31.408063194,2.791872182,0.457200000,0.457200000
31.432193072,2.798079136,0.457200000,0.457200000
31.456311710,2.804329622,0.457200000,0.457200000
31.480419030,2.810623620,0.457200000,0.457200000
31.504514953,2.816961109,0.457200000,0.457200000
31.528599401,2.823342069,0.457200000,0.457200000
31.552672296,2.829766478,0.457200000,0.457200000
31.576733558,2.836234316,0.457200000,0.457200000
31.600783111,2.842745562,0.457200000,0.457200000
31.624820874,2.849300195,0.457200000,0.457200000
31.648846771,2.855898193,0.457200000,0.457200000
31.672860722,2.862539534,0.457200000,0.457200000
31.696862651,2.869224198,0.457200000,0.457200000
31.720852477,2.875952162,0.457200000,0.457200000
31.744830124,2.882723405,0.457200000,0.457200000
31.768795514,2.889537904,0.457200000,0.457200000
31.792748567,2.896395637,0.457200000,0.457200000
31.816689207,2.903296582,0.457200000,0.457200000
31.840617356,2.910240716,0.457200000,0.457200000
31.864532934,2.917228017,0.457200000,0.457200000
31.888435866,2.924258463,0.457200000,0.457200000
31.912326072,2.931332029,0.457200000,0.457200000
31.936203475,2.938448694,0.457200000,0.457200000
31.960067997,2.945608433,0.457200000,0.457200000
31.983919560,2.952811225,0.457200000,0.457200000
32.007758087,2.960057044,0.457200000,0.457200000
32.031583501,2.967345868,0.457200000,0.457200000
32.055395723,2.974677673,0.457200000,0.457200000
32.079194676,2.982052435,0.457200000,0.457200000
32.102980283,2.989470129,0.457200000,0.457200000
32.126752466,2.996930733,0.457200000,0.457200000
32.150511147,3.004434221,0.457200000,0.457200000
32.174256250,3.011980569,0.457200000,0.457200000
32.197987697,3.019569753,0.457200000,0.457200000
32.221705411,3.027201748,0.457200000,0.457200000
32.245409314,3.034876528,0.457200000,0.457200000
32.269099330,3.042594070,0.457200000,0.457200000
32.292775381,3.050354347,0.457200000,0.457200000
32.316437389,3.058157335,0.457200000,0.457200000
32.340085279,3.066003008,0.457200000,0.457200000
32.363718973,3.073891341,0.457200000,0.457200000
32.387338394,3.081822308,0.457200000,0.457200000
32.410943466,3.089795882,0.457200000,0.457200000
32.434534110,3.097812039,0.457200000,0.457200000
32.458110251,3.105870752,0.457200000,0.457200000
32.481671812,3.113971995,0.457200000,0.457200000
32.505218716,3.122115741,0.457200000,0.457200000
32.528750886,3.130301964,0.457200000,0.457200000
32.552268246,3.138530637,0.457200000,0.457200000
32.575770720,3.146801734,0.457200000,0.457200000
32.599258229,3.155115227,0.457200000,0.457200000
32.622730699,3.163471090,0.457200000,0.457200000
32.646188053,3.171869295,0.457200000,0.457200000
32.669630214,3.180309815,0.457200000,0.457200000
32.693057106,3.188792622,0.457200000,0.457200000
32.716468652,3.197317689,0.457200000,0.457200000
32.739864777,3.205884988,0.457200000,0.457200000
32.763245405,3.214494492,0.457200000,0.457200000
32.786610458,3.223146171,0.457200000,0.457200000
32.809959862,3.231839998,0.457200000,0.457200000
32.833293540,3.240575945,0.457200000,0.457200000
32.856611416,3.249353983,0.457200000,0.457200000
32.879913414,3.258174084,0.457200000,0.457200000
32.903199458,3.267036218,0.457200000,0.457200000
32.926469473,3.275940358,0.457200000,0.457200000
32.949723382,3.284886473,0.457200000,0.457200000
32.972961110,3.293874536,0.457200000,0.457200000
32.996182582,3.302904516,0.457200000,0.457200000
33.019387721,3.311976384,0.457200000,0.457200000
33.042576453,3.321090111,0.457200000,0.457200000
33.065748701,3.330245667,0.457200000,0.457200000
33.088904390,3.339443022,0.457200000,0.457200000
33.112043445,3.348682146,0.457200000,0.457200000
33.135165790,3.357963010,0.457200000,0.457200000
33.158271351,3.367285583,0.457200000,0.457200000
33.181360051,3.376649834,0.457200000,0.457200000
33.204431816,3.386055733,0.457200000,0.457200000
33.227486571,3.395503249,0.457200000,0.457200000
33.250524240,3.404992353,0.457200000,0.457200000
